N-PSA,VNS1,VNS10,VNS30,B&BA,BN-PSA,BVNS30
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2968,2934,2934,2934,2934,2958,2934
95,95,95,95,100,95,95
3283,3283,3283,3283,3520,3283,3283
221,221,221,221,239,221,221
355,355,355,355,436,355,355
565,565,565,565,565,565,565
186,186,186,186,186,186,186
2680,2557,2557,2557,2670,2599,2557
2791,2753,2753,2753,2846,2753,2753
2270,2270,2270,2270,2647,2377,2270
15387,15222,15222,15222,15483,15340,15222
10832,10760,10760,10760,10993,10760,10763
5115,5114,5104,5104,5296,5226,5104
2165,2084,2084,2084,2309,2084,2084
7377,7251,7251,7251,7401,7326,7251
11207,11207,11207,11207,11226,11207,11207
8278,8227,8227,8227,8314,8254,8227
9929,9921,9921,9921,9929,9942,9921
15756,15702,15696,15696,15846,15775,15696
14620,14593,14593,14593,15055,14739,14593
1689,1634,1634,1634,1861,1646,1634
1544,1544,1544,1544,1714,1687,1544
2034,1911,1911,1911,2589,2050,1911
2042,2042,2042,2042,2199,2084,2042
1436,1436,1436,1436,1546,1436,1436
1331,1331,1331,1331,2238,1331,1331
1276,1257,1257,1257,1646,1257,1257
1599,1599,1599,1599,1900,1599,1599
1485,1451,1451,1451,1686,1451,1451
1369,1369,1369,1369,1867,1369,1369
10695,10675,10678,10678,12677,10924,10678
10108,9926,9926,9926,10646,9978,9926
11158,11174,11123,11123,11494,11292,11123
10355,10322,10313,10313,10981,10468,10313
10448,10444,10444,10444,11828,10496,10444
11728,11725,11725,11728,11946,11728,11728
11987,11709,11719,11678,12692,11912,11678
9942,9923,9860,9839,10754,9923,9839
12100,11921,11904,11912,12663,12215,11904
11756,11721,11716,11716,14103,11783,11716
27554,27487,27414,27389,28519,27547,27374
28396,28255,28272,28237,29194,28367,28237
30621,30560,30543,30556,32018,30741,30543
27728,27595,27517,27533,28295,27694,27508
29524,28782,28665,28618,29643,28860,28637
26681,26552,26501,26501,27263,26578,26501
27349,26961,26883,26883,27931,27244,26883
26556,26317,26323,26317,27008,26463,26308
29147,28572,28499,28475,29147,28859,28497
25520,25222,25199,25152,25725,25571,25156
1908,1908,1908,1908,2740,1959,1908
1348,1348,1348,1348,1989,1348,1348
1160,1160,1160,1160,1202,1161,1160
963,951,951,951,1455,1020,951
1165,1165,1165,1165,1591,1165,1165
1527,1527,1527,1527,1751,1547,1527
1466,1466,1466,1466,1932,1466,1466
1450,1395,1395,1395,2082,1395,1395
1422,1418,1418,1418,1501,1418,1418
1836,1741,1741,1741,1862,1798,1741
11585,11596,11565,11565,12365,11743,11565
11200,11064,11064,11064,11941,11184,11064
11137,11019,11019,11019,12087,11133,11019
11885,11871,11818,11818,12924,11818,11818
10420,10417,10417,10417,12112,10651,10417
13915,13755,13749,13749,14321,13839,13749
10466,10308,10280,10280,11021,10441,10290
9534,9417,9398,9398,9814,9416,9398
12155,12065,12065,12065,12659,12217,12065
13136,13049,13035,13035,13891,13321,13035
29793,29578,29555,29507,30803,29744,29506
29285,29042,29026,29023,30628,29436,29035
34066,33413,33142,33173,34167,33803,33147
29250,29202,29201,29190,30595,29515,29172
28169,27883,27867,27867,29485,27993,27867
32163,31834,31772,31765,33147,32135,31834
32889,32728,32623,32571,33556,32907,32579
30278,29896,29896,29878,31322,30370,29878
33409,33155,33004,33004,33727,33398,33029
30651,30642,30573,30555,31867,30732,30555
1176,1176,1176,1176,1770,1176,1176
1794,1773,1763,1763,2099,1841,1763
2101,2076,2075,2076,2549,2091,2076
1451,1451,1451,1451,1776,1451,1451
1522,1519,1510,1510,2033,1510,1510
1371,1371,1371,1371,1456,1390,1371
1807,1764,1764,1764,2493,1764,1764
1403,1403,1403,1392,1553,1392,1392
1371,1371,1371,1371,1732,1371,1371
1685,1685,1685,1685,1989,1685,1685
11642,11357,11357,11357,12207,11442,11357
10337,10110,10117,10110,11320,10151,10109
14154,13752,13768,13752,14823,14010,13752
10478,10400,10400,10400,11301,10428,10400
11494,11281,11279,11279,12194,11410,11279
11945,11700,11700,11700,13053,11898,11700
13053,12768,12752,12727,13970,12855,12727
12259,11981,11970,11970,13320,12266,11970
10788,10791,10791,10788,11314,10905,10788
12611,12605,12605,12605,12767,12624,12605
28635,28178,28105,28152,29320,28492,28105
30292,30026,29981,29950,31143,30145,29973
30881,30763,30569,30596,31930,31529,30637
29889,29749,29730,29671,31027,30320,29650
31405,30793,30709,30721,31788,31088,30691
30951,30502,30456,30516,31543,31213,30388
32145,32174,31919,31780,32849,32534,31882
31711,31425,31272,31249,32726,32090,31315
29945,30026,29821,29824,31444,30039,29818
30179,29766,29711,29711,30794,30067,29621
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
6360,6359,6354,6354,9040,6364,6354
5987,5805,5792,5792,7876,5859,5792
4034,4070,4017,4017,5593,4088,4017
3296,3293,3293,3293,4476,3296,3293
2234,2234,2234,2234,2864,2234,2234
3607,3607,3607,3607,4847,3613,3607
3086,3078,3078,3078,4363,3082,3078
2754,2696,2696,2696,3861,2743,2696
1629,1621,1621,1621,1878,1621,1621
5758,5738,5600,5600,8069,5756,5600
25160,24719,24470,24470,26035,25357,24470
17443,17349,17349,17335,20897,17731,17334
26339,25670,25471,25376,27014,25892,25381
21172,21007,20955,20955,23884,21325,20955
25918,25177,25153,25124,27451,25905,25098
21735,21033,20976,20925,23410,21162,20912
20425,20226,20221,20221,21748,20765,20221
24428,24269,24218,24209,25348,24732,24193
24969,24894,24743,24718,27816,25249,24708
23233,22880,22811,22809,24297,23132,22811
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
2116,2116,2116,2116,2750,2116,2116
2571,2571,2571,2571,3549,2571,2571
4134,4134,4134,4134,5532,4134,4134
2134,2133,2133,2133,2524,2133,2133
4250,4200,4200,4200,5916,4341,4200
4319,4284,4278,4273,6861,4298,4273
5959,5947,5947,5947,8506,5951,5947
1938,1867,1867,1867,2373,1938,1867
3751,3751,3751,3751,5399,3751,3751
2842,2840,2840,2840,3955,2862,2840
17495,17186,17186,17125,19083,17336,17125
22937,22702,22628,22595,25077,23103,22596
22957,22491,22329,22355,23958,22701,22282
23539,23392,23172,23140,25409,23186,23124
18808,18475,18431,18375,21106,18735,18375
24624,24519,24431,24431,26890,24537,24424
24954,24672,24529,24461,25492,25154,24461
19499,19302,19168,19151,23419,19579,19168
23251,22940,22933,22878,24318,23272,22878
20807,20678,20522,20501,21807,20996,20501
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
3809,3770,3770,3770,5940,3801,3770
