N-PSA,VNS30,B&BA
1471,1471,1471
1086,1086,1086
1020,1020,1020
1074,1074,1074
1938,1938,1938
1702,1702,1702
1070,1070,1070
1516,1516,1516
1225,1225,1225
1244,1244,1244
1155,1155,1155
1255,1255,1255
1099,1099,1099
975,975,975
1630,1630,1630
1683,1683,1683
1449,1449,1449
1874,1874,1874
1118,1118,1118
1403,1403,1403
1467,1467,1467
1405,1405,1405
1547,1547,1547
925,925,925
1242,1242,1242
1104,1104,1104
1517,1517,1517
829,829,829
1307,1307,1307
1022,1022,1022
1015,1015,1015
850,850,850
1680,1680,1680
765,765,765
1915,1915,1915
1947,1947,1947
1144,1144,1144
1335,1335,1335
1685,1685,1685
1125,1125,1125
1364,1364,1364
1643,1643,1643
1484,1484,1484
1511,1511,1511
1606,1606,1606
2140,2140,2140
1513,1513,1513
1530,1530,1530
1408,1408,1408
1210,1210,1210
1424,1424,1424
1210,1210,1210
1094,1094,1094
1840,1840,1840
2038,2038,2038
1886,1886,1886
1809,1809,1809
1785,1785,1785
1096,1096,1096
1609,1609,1609
1304,1304,1304
1106,1106,1106
822,822,822
1557,1557,1557
799,801,799
1947,1947,1947
2201,2201,2201
1967,1967,1967
1442,1442,1442
1010,1010,1010
2206,2206,2206
848,848,848
1498,1498,1498
1421,1421,1421
1687,1687,1687
1855,1853,1853
2517,2517,2517
2051,2036,2036
2589,2589,2589
903,903,903
1703,1703,1703
1219,1219,1219
2188,2188,2188
906,906,906
1919,1918,1918
1538,1538,1538
1612,1612,1612
1497,1497,1497
997,997,997
1166,1166,1166
1754,1753,1753
1551,1550,1550
1383,1383,1383
1994,1994,1994
2091,2091,2091
1737,1737,1737
2014,2014,2014
1762,1762,1762
1288,1288,1288
1581,1581,1581
999,999,999
1877,1876,1876
1807,1806,1806
2289,2289,2289
1716,1716,1716
1078,1078,1078
2136,2136,2136
1713,1713,1713
1341,1341,1341
2092,2081,2081
1171,1170,1170
1592,1592,1592
1882,1882,1882
1897,1897,1897
2709,2709,2709
2283,2283,2283
1492,1492,1492
1238,1238,1238
1191,1191,1191
1620,1614,1614
1620,1620,1620
1856,1856,1856
1554,1554,1554
963,963,963
1980,1980,1980
2022,2022,2022
1816,1816,1816
1632,1632,1632
1140,1140,1140
2988,2988,2988
1774,1774,1774
2307,2307,2307
1223,1223,1223
1575,1575,1575
2412,2412,2412
1104,1104,1104
1756,1756,1756
2225,2225,2225
1273,1273,1273
2086,2028,2028
